;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
UNIVALLE;0.0;0.05442560577214466;0.053570108039213686;0.01686752677701521;0.023192688539375377;0.008111767945120986;0.0;0.0;0.01938475499893018;0.0;0.042734843677438066;0.0;0.025887594572210508;0.002944457789578867;0.02144544316957559;0.013865032892319964;0.001792126647991131;0.003605929427893191;0.0030682215104896895;0.03803322074295023;0.044910847629271236;0.045997451145064525;0.047442060452419055;0.0;0.0;0.01833590990646561;0.008656477060335793;0.05127034503991473;0.05148221174859258;0.0;0.030837444178581634;0.02637775484542228;0.05162765160141433;0.0;0.05152066940198295;0.05162135853085954;0.0;0.0;0.0;0.03652358303986289;0.05131579499392153;0.0515605255154966;0.05159059240814725
CIAT;0.00960991945435832;0.0;0.00015105508133931566;0.025050181010072045;0.005514790596693168;0.017035300804432316;0.0;0.0;0.0;0.0;0.0;0.0;0.03330700537141629;0.012305228554018829;0.005823301398411615;0.02230174660638118;0.011250403240259508;0.012910729007184076;0.012418519865023323;0.044424915383551894;0.05072058394310088;0.05171524324988607;0.05303761527550911;0.0;0.052105682231313975;0.02639431520843041;0.0;0.05654196514980056;0.05673590451270655;0.0;0.0;0.0;0.05686903780473443;0.0;0.05677110802742546;0.05686327722959861;0.0;0.0;0.05687287818815831;0.0430430174148587;0.05658356930355927;0.05680759166995233;0.056835114417823476
CENICAÑA;0.006568735698398222;0.02702702702702703;0.0;0.01729126995556836;0.0037248616289468858;0.011725313235082331;0.0;0.0;0.0;0.0;0.03373488941872601;0.0;0.023025245494162017;0.008440500891655421;0.003939107846745503;0.015382611741403927;0.007707974404244389;0.00886099243115229;0.008519176369975663;0.030746110231012543;0.03511815545563326;0.03580889948563128;0.03672722456026186;0.03519105250899212;0.036080040964588035;0.01822470783394407;0.005507283482416698;0.039160830457455685;0.03929551220847846;0.03938174408867127;0.02617182013274376;0.023336835947848387;0.039387967007860444;0.03936752027338174;0.03931995939100735;0.03938396655981026;0.03937818813484889;0.039387967007860444;0.03939063397322723;0.02978644719319675;0.03918972258226255;0.03934529556199183;0.039364408813787145
UAO;0.038812771510806796;0.06296959078963832;0.06258987789834992;0.0;0.04910685235175286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012953371940322863;0.0;0.0;0.006908843877934109;0.03468902515329745;0.03051540125498328;0.031752686057529;0.03039523787857155;0.04027193294872781;0.04183236240572484;0.04390691019089593;0.0;0.042444886195150966;0.002108688455401398;0.0426549511057082;0.04940456223533528;0.049708815855328915;0.0;0.0;0.0;0.04991767642614962;0.0;0.04976404341011323;0.04990863918991219;0.0;0.0;0.0;0.028227305318946978;0.049469831163716754;0.04982127923961698;0.04986445714608473
UNAL;0.0028824478478773974;0.024140133812998003;0.02347891380604961;0.013750420563467645;0.0;0.008108968242254653;0.026129898832297757;0.0272134072840241;0.015372304316571526;0.027798186481670997;0.030417078219669016;0.005610816739209926;0.01956217067875655;0.004779601315744185;0.00021715221361002157;0.011815873664626516;0.004037138975434411;0.005205796324198705;0.004859343933605128;0.02738775978748277;0.03181910661957437;0.03251921977299755;0.03345000083797327;0.03189299243499355;0.0327940389644957;0.01469651941944491;0.0018065982916518229;0.035916615712485424;0.036053124261705;0.03614052577506671;0.02275142486992943;0.019877987487347055;0.036146833100773226;0.036126109030594676;0.03607790304126631;0.03614277839139047;0.036136921588948705;0.036146833100773226;0.03614953624036173;0.026415080058885192;0.035945899724694245;0.03610358286735712;0.03612295536774142
UIS;0.034624254757973025;0.07943492288453163;0.07873055911219465;0.0;0.053719676009719546;0.0;0.03364905611768757;0.0;0.0;0.0367641174877825;0.0;0.01654956405766402;0.0;0.0220561367693665;0.0;0.0069216108434083275;0.0;0.01923271249550713;0.0;0.0;0.0;0.0;0.0;0.0;0.04609247707000844;0.0;0.0;0.0;0.0;0.052341106791063026;0.027340699322024094;0.021975357324058812;0.05235288396070421;0.05231418754616888;0.05222417632105406;0.05234531292307774;0.05233437697983949;0.05235288396070421;0.052357931319121864;0.0;0.051977696984992;0.0;0.05230829896134828
UCESAR;0.0;0.0;0.0;0.0;0.10395917150793586;0.07169721650920594;0.0;0.0;0.0;0.011513921594640306;0.0;0.08163624314779461;0.0;0.08494327725928175;0.0;0.05694909907326228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06908974826705583;0.013441435665063383;0.02487355683745627;0.06913327916155351;0.0;0.06865754867168584;0.06910529501509072;0.0;0.06913327916155351;0.06915193525919539;0.0;0.06774650923684124;0.0;0.06896848363238367
ITM;0.0;0.0;0.0;0.0;0.1631693823745516;0.0;0.0;0.0;0.0709982927778018;0.0;0.0;0.12952738038639408;0.0;0.0;0.0;0.09232236244975582;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06769740293809023;0.0;0.0;0.0;0.0;0.0;0.0;0.04398258201149674;0.10836940363763552;0.0;0.10753322840153898;0.10832021685904161;0.0;0.0;0.0;0.0;0.0;0.0;0.10807974816369358
UPB;0.05485054251050595;0.0;0.0;0.0;0.06750912098261277;0.0;0.0;0.03096089383368971;0.0;0.0;0.0;0.04286861827995283;0.0;0.04651898984622935;0.0;0.015618446148610696;0.0;0.04464730881549895;0.046168791598407685;0.0;0.0430034010688535;0.0;0.0;0.043196590072723876;0.04555255353455775;0.0;0.0;0.0;0.0;0.05430260183180871;0.01929416277068842;0.011780995290900232;0.05431909357604155;0.054264906416419366;0.05413886237121126;0.054308491740463295;0.0;0.05431909357604155;0.05432616146642705;0.0;0.0537937137240526;0.0;0.05425666054430295
UPAMPLONA;0.0;0.0;0.0;0.0;0.130016646648545;0.0920896811850728;0.007802853109130367;0.0;0.0;0.0;0.0;0.10377394272710032;0.0;0.0;0.0;0.0;0.0;0.10566828918810714;0.0;0.0;0.0;0.0;0.0;0.04033209971866486;0.049207025391162354;0.0;0.0;0.0;0.0;0.0;0.02360452620266768;0.0370440609393767;0.08223062381852551;0.0;0.08155169200457946;0.08219068665299929;0.0;0.08223062381852551;0.08225724859554301;0.0;0.0;0.0;0.0
